0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,2,4,0
0,5,0,2,5,0
0,7,0,2,6,0
0,7,0,2,9,3
0,9,0,2,10,3
1,12,1,2,11,4
3,13,1,3,14,4
3,13,1,4,15,5
3,14,1,4,16,5
4,14,1,6,16,7
4,16,1,7,18,8
4,17,1,7,20,9
5,17,1,7,20,9
7,16,1,7,21,9
8,14,1,7,23,9
8,13,1,7,22,8
8,13,2,8,21,10
7,11,1,11,19,11
5,11,4,11,16,10
5,13,5,11,15,9
5,12,6,11,16,9
5,12,9,8,15,9
5,12,11,8,16,9
5,15,11,10,14,9
6,16,12,9,12,9
4,19,12,9,10,9
3,19,13,10,10,11
4,20,13,11,11,11
4,18,12,9,10,7
4,23,12,8,12,8
4,23,11,7,14,8
5,21,11,6,14,9
6,25,10,7,14,9
5,26,7,8,14,8
5,25,6,8,12,7
5,24,7,7,14,7
3,23,6,7,14,9
4,26,7,6,16,9
4,25,6,5,17,8
3,26,6,5,17,8
3,26,6,5,19,9
5,25,6,5,19,8
6,22,5,6,19,9
6,24,5,7,20,8
6,21,5,6,20,8
7,18,6,5,20,7
9,18,6,7,20,8
9,17,5,7,20,7
9,16,4,6,21,5
10,13,4,6,19,5
11,16,4,7,18,5
11,17,4,8,18,5
11,15,4,9,17,5
9,15,4,9,14,5
8,15,4,10,13,4
7,15,8,9,14,4
6,18,8,10,12,5
5,19,7,11,12,6
3,20,7,9,11,6
3,20,7,9,13,6
2,18,9,10,12,6
1,17,10,9,12,7
1,15,11,9,11,7
1,16,11,8,11,7
2,17,11,7,13,7
3,17,10,6,13,7
3,16,7,8,11,7
5,16,5,8,10,6
7,17,6,9,11,6
8,15,6,9,15,5
8,17,8,10,17,6
9,18,7,9,17,6
9,19,7,10,17,6
9,21,7,9,18,5
10,21,7,9,18,8
9,21,7,10,17,7
8,20,7,8,21,7
9,19,8,8,22,7
7,18,10,7,23,8
4,18,9,6,26,8
4,20,10,6,24,7
6,18,10,6,23,6
7,16,10,6,23,6
6,16,9,7,23,7
5,15,9,7,21,7
6,17,10,7,20,7
7,17,10,9,18,7
7,17,9,8,20,7
7,17,7,9,20,9
8,15,8,11,19,9
8,14,8,10,16,9
7,16,10,10,18,9
7,18,8,10,17,10
6,20,8,9,16,12
6,22,7,8,18,10
7,23,6,8,19,10
8,20,5,7,23,10
7,19,6,5,21,10
7,22,7,5,19,10
7,22,9,5,20,7
7,22,8,4,22,9
7,24,7,4,20,9
6,22,4,4,21,10
7,21,4,5,21,10
9,18,6,5,20,9
8,20,6,6,19,9
9,20,8,6,16,9
8,24,8,6,17,10
8,23,10,5,19,9
8,22,9,4,20,10
10,21,9,4,18,9
9,21,9,5,16,8
12,22,10,6,16,9
13,24,11,5,14,8
11,23,11,5,12,9
9,25,10,5,15,12
9,26,10,5,16,11
9,26,10,5,15,10
8,23,10,5,12,8
8,25,7,5,12,7
7,27,5,6,12,7
7,28,5,5,11,9
7,27,5,5,12,9
7,25,7,5,12,9
8,21,5,5,12,8
8,21,6,5,12,7
10,22,7,3,13,4
10,20,7,3,11,3
10,18,7,3,9,3
